titulo,ano,doi,Recorrentes (LSTM/RNN/GRU),LSTM (menção estrita),CNN,Random Forest,XGBoost,SVR/SVM,Rede neural rasa/MLP,Transformer,Regressão linear,Climáticas,Solo,Índices espectrais,Manejo,MODIS,Sentinel,Landsat,Google Earth Engine,RMSE,R²,MAE,MAPE
A CNN-RNN Framework for Crop Yield Prediction,2020,10.3389/fpls.2019.01750,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0
County-Level Soybean Yield Prediction Using Deep CNN-LSTM Model,2019,10.3390/s19204363,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
Crop yield prediction integrating genotype and weather variables using deep learning,2021,10.1371/journal.pone.0252402,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Hybrid Deep Learning-based Models for Crop Yield Prediction,2022,10.1080/08839514.2022.2031823,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
"A Comparison Between Major Artificial Intelligence Models for Crop Yield Prediction: Case Study of the Midwestern United States, 2006–2015",2019,10.3390/ijgi8050240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Multispectral Crop Yield Prediction Using 3D-Convolutional Neural Networks and Attention Convolutional LSTM Approaches,2023,10.1109/jstars.2022.3223423,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Using Hybrid Artificial Intelligence and Evolutionary Optimization Algorithms for Estimating Soybean Yield and Fresh Biomass Using Hyperspectral Vegetation Indices,2021,10.3390/rs13132555,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A Scalable Machine Learning System for Pre-Season Agriculture Yield Forecast,2018,10.1109/escience.2018.00131,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Use Of Deep Neural Networks For Crop Yield Prediction: A Case Study Of Soybean Yield in Lauderdale County, Alabama, USA",2019,10.1109/agro-geoinformatics.2019.8820257,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0
Deep Learning for Multi-Source Data-Driven Crop Yield Prediction in Northeast China,2024,10.3390/agriculture14060794,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
From data to harvest: Leveraging ensemble machine learning for enhanced crop yield predictions across Canada amidst climate change,2024,10.1016/j.scitotenv.2024.175764,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0
GOA-optimized deep learning for soybean yield estimation using multi-source remote sensing data,2024,10.1038/s41598-024-57278-6,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
Boosting enabled efficient machine learning technique for accurate prediction of crop yield towards precision agriculture,2024,10.1007/s43621-024-00254-x,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Crop Yield Estimation Using Multi-Source Satellite Image Series and Deep Learning,2020,10.1109/igarss39084.2020.9324027,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
Recognition of soybean pods and yield prediction based on improved deep learning model,2023,10.3389/fpls.2022.1096619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
