"municipio";RENDA DE FATORES;CUSTO FIXO;CUSTO VARIAVEL;PRECO RECEBIDO
"BALSAS-MA";21.41;33.05;72.51;110.2
"BARREIRAS-BA";34.03;17.66;77.68;112.84
"DOURADOS-MS";35.72;21.84;81.28;111.4
"LONDRINA-PR";26.25;26.45;82.69;115.97
"PEDRO AFONSO-TO";9.12;24.91;85.03;105.09
"PONTA GROSSA-PR";36.01;12.35;73.67;115.97
"PRIMAVERA DO LESTE-MT";18.56;20.88;82.75;103.9
"RIO VERDE-GO";15.03;16.24;63.02;108.41
"SÃO GABRIEL-RS";6.49;25.18;65.41;117.92
"SÃO LUIZ GONZAGA-RS";16.59;20.71;86.58;117.92
"SORRISO-MT";21.83;11.2;72.46;103.9
"UNAÍ-MG";19.0;21.18;92.4;110.22
"URUÇUÍ-PI";14.11;17.4;73.26;116.51
