"Ano-Mes.Ano-Mes";Renda de Fatores;Custo Fixo;Custo Variável;Preco Mercado;Preco Mínimo;Margem Bruta;Margem Liquida
"MAR-2023";9.84;23.73;119.32;146.35;96.71;27.03;3.3000000000000114
"MAI-2023";10.06;23.73;113.85;116.17;96.71;2.3200000000000074;-21.409999999999982
"JUL-2023";9.53;23.25;86.35;114.0;96.71;27.650000000000006;4.400000000000006
"SET-2023";9.28;22.93;84.53;121.9;96.71;37.370000000000005;14.439999999999998
"NOV-2023";9.15;22.74;84.62;122.45;96.71;37.83;15.090000000000003
"JAN-2024";9.69;23.04;84.57;0.0;86.54;-84.57;-107.60999999999999
"MAR-2024";8.62;22.84;83.13;0.0;86.54;-83.13;-105.97
"MAI-2024";8.5;22.62;82.53;114.0;86.54;31.47;8.849999999999994
"JUL-2024";8.29;22.82;82.21;116.91;86.54;34.7;11.879999999999995
"SET-2024";8.06;22.88;82.24;119.0;86.54;36.760000000000005;13.88000000000001
"NOV-2024";7.77;22.55;82.08;118.71;86.54;36.629999999999995;14.079999999999998
"MAR-2025";8.22;22.59;83.63;109.5;76.28;25.870000000000005;3.280000000000001
"JUL-2025";8.88;23.13;87.01;116.07;76.28;29.059999999999988;5.929999999999993
"NOV-2025";9.16;23.73;88.52;125.38;76.28;36.86;13.129999999999995
"MAR-2026";9.12;24.91;85.03;105.09;71.04;20.060000000000002;-4.849999999999994
