municipio,lavoura_aptidao_boa,lavoura_aptidao_regular,lavoura_aptidao_restrita,pastagem_plantada,silvicultura_ou_pastagem_natural,preservacao_fauna_flora
ALTAMIRA,6552.64,5242.12,4914.48,4586.85,3931.58,3276.32
BREU BRANCO,17500.0,15000.0,13000.0,11700.0,10500.0,8200.0
CASTANHAL,10875.88,9457.3,8038.71,10875.88,9457.3,8038.71
CUMARU DO NORTE,6519.09,5867.18,5215.27,6519.09,3911.46,3259.55
ELDORADO DOS CARAJAS,9379.87,6253.25,3126.62,9379.87,6253.25,3126.62
FLORESTA DO ARAGUAIA,6947.65,6375.75,5553.35,5370.45,4791.26,4220.02
MARABA,8900.0,7550.0,6100.0,7400.0,4000.0,2280.0
MEDICILANDIA,3723.62,3351.16,2978.9,2606.53,2234.17,1861.81
NOVO PROGRESSO,3693.95,2955.17,2659.63,1847.0,1662.27,1329.84
NOVO REPARTIMENTO,4855.85,4307.93,4067.9,3940.77,3529.45,1523.86
OURILANDIA DO NORTE,6673.11,4448.75,2224.37,6673.11,4448.75,2224.37
PARAGOMINAS,4564.0,3651.0,3600.0,3000.0,2738.0,2282.0
REDENCAO,8672.24,6005.2,4503.9,6005.2,4503.9,2924.07
RIO MARIA,5076.41,3568.8,3005.32,5076.41,3568.8,3005.32
SANTA ISABEL DO PARA,6008.75,4807.0,3845.6,3076.48,2461.18,1845.88
SANTANA DO ARAGUAIA,7061.84,6326.43,5138.02,4635.52,3475.94,2733.85
SAO FELIX DO XINGU,5930.09,4173.0,3512.99,5930.09,4173.0,3512.99
TRAIRAO,3307.93,2646.35,1984.76,3307.93,2646.35,1653.97
ULIANOPOLIS,4006.79,3606.11,3205.43,2804.75,2404.07,2003.4
XINGUARA,7438.01,5206.71,4462.81,7438.01,5206.71,4462.81
