municipio,ano,NDVI_mean,NDVI_max,EVI_mean,EVI_max,precip_total,temp_mean,temp_max,srad_mean,etp_total,cod_ibge7,rendimento_kg_ha
Altamira,2001,0.643321452013348,0.8935198716539227,0.4325205790741145,0.6724222750094684,1745.2037336509995,24.149355772163073,28.27020897821419,16.05364730316733,2186.870408955956,1500602,2000.0
Conceicao Do Araguaia,2001,0.6935024248943082,0.8172311152554887,0.44507088615440044,0.5801776060166268,1534.0108592813922,25.443249423613405,29.428889403966984,17.543555554678637,1212.0889038602172,1502707,2611.0
Floresta Do Araguaia,2001,0.6582556111975101,0.8249364543897196,0.42493555383767845,0.5795556975524838,1541.3625849120963,25.262581052228878,29.12440753581002,17.191481212108,1170.8929317647944,1503044,840.0
Paragominas,2001,0.6219694263475455,0.89172969533383,0.41099380795283863,0.6426218886755305,1911.4293062984593,25.417183688204343,29.977968211982926,17.02494125724665,3069.766670655316,1505502,2692.0
Redencao,2001,0.7093552159705477,0.8248276290229087,0.4817555081481631,0.6160313784944198,1550.250578561208,24.807540489306582,28.813098569025232,17.05855037816159,1195.356805633579,1506138,3055.0
Santarem,2001,0.5140699291897951,0.8011047492589423,0.3451471813796601,0.5845367502120125,1708.730674709451,25.409616580762094,28.571126382789085,16.36001385599191,1765.181417853726,1506807,3000.0
Altamira,2002,0.6782715744467611,0.9033069158399931,0.4640546474151302,0.7041772427072199,1591.2167902768917,24.702404124518193,28.866696104734153,16.412842975926818,2340.9253865237065,1500602,2000.0
Belterra,2002,0.48671874921828007,0.726103967000754,0.3312664167400634,0.5499193568385621,1511.647983754252,26.248280420933128,29.00442274959354,16.89072665385075,1398.5945703291968,1501451,3000.0
Conceicao Do Araguaia,2002,0.6964585316554486,0.8206212339412489,0.42357105964013075,0.5637897522748481,1611.137860667004,25.875002018621124,29.88391363824642,17.73093338260309,1256.1367530858633,1502707,2611.0
Dom Eliseu,2002,0.659839591530828,0.8956646892160489,0.42605931118469265,0.6404037084013112,1449.685069082713,25.317665696475178,29.699275009514533,17.02024834940259,2550.902690074851,1502939,2400.0
Paragominas,2002,0.6507916940152716,0.8984371763153091,0.43041947000275915,0.6779695231975631,1810.7130069991003,25.776396911995693,30.383172210780923,17.12558275834734,3019.1500428563713,1505502,2969.0
Redencao,2002,0.7004495468268116,0.8324567563387092,0.4577229584641392,0.6026353316520248,1572.4850483853854,25.317880668507165,29.3419967322928,17.490787982313815,1263.3895307585979,1506138,3000.0
Santarem,2002,0.5631108446298194,0.8095823603902709,0.37311221953425244,0.6020311938082826,1556.738085074297,26.102281111594444,29.32079707114314,16.87374738916381,1991.0580078217374,1506807,3000.0
Ulianopolis,2002,0.6328270145364842,0.8895829420273257,0.41455119695398557,0.6505033584812081,1534.9416858671657,25.641826404150386,30.014968597474216,17.032872566766372,2272.3355921025245,1508126,2950.0
Altamira,2003,0.6439480341313798,0.900498483790386,0.43597451693808914,0.6832756982331987,1513.2380885235734,24.66783503224092,28.73660989476866,16.122611542006272,2365.148276387879,1500602,2000.0
Belterra,2003,0.4617665615338705,0.7165671888371773,0.3333885332411227,0.5707803594240817,1524.1062698022422,26.245218764756487,29.016529843412773,17.10554808829626,1460.5184726776222,1501451,2700.0
Capitao Poco,2003,0.6535351230312828,0.8641328547099587,0.4450363742689095,0.6412655973573768,1767.3987823005368,25.95343800344742,30.460670204236724,16.721020896596105,2159.498718112503,1502301,2700.0
Conceicao Do Araguaia,2003,0.6883821642744482,0.8154713447117823,0.44233972980998837,0.5825259280674069,1437.957060353557,26.151171828275935,30.05820232909838,17.95270320791262,1312.1336959414318,1502707,2611.0
Curua,2003,0.5472602637050287,0.7076035171847148,0.3573449069139873,0.5204741989250675,1681.5107451760553,26.686471227353277,29.88019476322776,17.3864925288376,1666.4619840516984,1502855,3000.0
Dom Eliseu,2003,0.6123378586969677,0.8781119770029064,0.4178669797219831,0.6523363741743999,1717.1181094952676,25.352949593257975,29.643642368266597,16.70160024305186,2622.2910676343217,1502939,3300.0
Floresta Do Araguaia,2003,0.6903467024902364,0.8231606923445721,0.447459705631406,0.5872240051055831,1406.7156804631147,25.981462827859634,29.806771767691078,17.643454918899472,1281.991487894545,1503044,2000.0
Paragominas,2003,0.6198691196111417,0.8899413707359362,0.41385946151989117,0.6520632067166576,1591.4596137597532,25.78016950546941,30.327993095585146,16.797153127930397,3047.864393620901,1505502,2880.0
Redencao,2003,0.7171911445041381,0.8288963509338584,0.4855196445067627,0.6225313797114022,1499.8368542217884,25.548650219641733,29.501579811645513,17.43493914875505,1312.0084318564095,1506138,3000.0
